retailer_id,product_brand,review_title,author_id,review_date,mark,review_txt,product,product_id
Folie_FR,Calliderm,,KARINE S.,6/9/2016,4," Impec. Pique un peu sur ma peau sensible, mais dès que je sens un petit bouton arrivé, je pose mon masque, le lendemain bouton disparu ! Sans parler des pores resserrés. Je recommande.",Masque purifiant visage à l'argile et aux plantes,FOL3184
Folie_FR,Calliderm,,"Janina"" ""Filipa "".",7/6/2016,5, parfect,Masque purifiant visage à l'argile et aux plantes,FOL3184
Folie_FR,Calliderm,,Nicolas L.,5/5/2016,4, L'odeur est spéciale mais produit efficace,Masque purifiant visage à l'argile et aux plantes,FOL3184
Folie_FR,Calliderm,,Florine P.,19/04/2016,4," ""bon produit""",Masque purifiant visage à l'argile et aux plantes,FOL3184
Folie_FR,Calliderm,,Selime B.,25/03/2016,4," ""Peu parfois provoquer de léger picotement sur de petites lésions cutanées mais cet aspect désagréable s'estompe très rapidement.""",Masque purifiant visage à l'argile et aux plantes,FOL3184
Folie_FR,Calliderm,,"DANIELE"" ""MARIE J.",28/02/2016,5," ""Très bon produit, nettoie bien les pores et laisse la peau souple""",Masque purifiant visage à l'argile et aux plantes,FOL3184
Folie_FR,Calliderm,,"- "".",15/02/2016,5," ""conforme à mon attente""",Masque purifiant visage à l'argile et aux plantes,FOL3184
Folie_FR,Calliderm,,JOCELYNE G.,17/01/2016,4, Masque que je ne connaissais et que j'ai essayé : bon masque à un prix très intéressant,Masque purifiant visage à l'argile et aux plantes,FOL3184
Folie_FR,Calliderm,,Bénédicte P.,19/12/2015,5," ""très agréable""",Masque purifiant visage à l'argile et aux plantes,FOL3184
Folie_FR,Calliderm,,JOCELYNE G.,19/12/2015,3, Moyen,Masque purifiant visage à l'argile et aux plantes,FOL3184
Folie_FR,Calliderm,,Maimouna C.,16/10/2015,5," ""Peau parfaitement nettoyer, odeur agreable , facile a rincer.""",Masque purifiant visage à l'argile et aux plantes,FOL3184
Folie_FR,Calliderm,,Corine S.,15/02/2015,3," ""drôle d'odeur""",Masque purifiant visage à l'argile et aux plantes,FOL3184
Folie_FR,Byphasse,,MARTINE R.,30/12/2018,5, Très bon produit parfait,Crème visage Lift Instant Jeunesse Q10,FOL3262
Folie_FR,Byphasse,,Rolande M.,25/08/2018,5, ravie un produits excellent,Crème visage Lift Instant Jeunesse Q10,FOL3262
Folie_FR,Byphasse,,Joelle D.,22/08/2018,5," Très bien, répond à mes attentes.",Crème visage Lift Instant Jeunesse Q10,FOL3262
Folie_FR,Byphasse,,Agnès P.,13/05/2018,4, Bien,Crème visage Lift Instant Jeunesse Q10,FOL3262
Folie_FR,Byphasse,,Elodie L.,28/06/2017,4," ""J'ai commencé à l'utiliser, plus qu'à attendre les résultats""",Crème visage Lift Instant Jeunesse Q10,FOL3262
Folie_FR,Byphasse,,SOPHIE V.,30/04/2017,4," ""Je cherchais une crème de nuit. Et j'aime beaucoup cette crème la texture et l'odeur sont agréables. Elle va devenir mon soin quotidien""",Crème visage Lift Instant Jeunesse Q10,FOL3262
Folie_FR,Byphasse,,Fabienne S.,25/03/2017,5," ""produit de qualité""",Crème visage Lift Instant Jeunesse Q10,FOL3262
Folie_FR,Byphasse,,CELINE C.,20/01/2017,3," ""bon produit""",Crème visage Lift Instant Jeunesse Q10,FOL3262
Folie_FR,Byphasse,,Vanessa D.,8/7/2016,5," ""crème agréable onctueuse mais pas grasse, facile à appliquer et parfum agréable""",Crème visage Lift Instant Jeunesse Q10,FOL3262
Folie_FR,Byphasse,,CHANTAL B.,1/7/2016,5," ""très bon produit.""",Crème visage Lift Instant Jeunesse Q10,FOL3262
Folie_FR,Byphasse,,Véronique M.,27/06/2016,3, Bien,Crème visage Lift Instant Jeunesse Q10,FOL3262
Folie_FR,Byphasse,,Marc C.,6/2/2016,5, bien,Crème visage Lift Instant Jeunesse Q10,FOL3262
Folie_FR,Byphasse,,Virginie J.,30/12/2015,5," ""Idéal et fonctionne pour de vrai ! Après des années de tests de différents produits, celui-ci fait des miracles !""",Crème visage Lift Instant Jeunesse Q10,FOL3262
Folie_FR,Byphasse,,"FAURE "".",11/10/2015,5, Parfait,Crème visage Lift Instant Jeunesse Q10,FOL3262
Folie_FR,Byphasse,,Valérie B.,13/02/2015,4," ""Bonne texture agréable à la peau""",Crème visage Lift Instant Jeunesse Q10,FOL3262
Folie_FR,Evoluderm,,LAURE A.,26/01/2019,5, Très bien !:),Masque visage à l'huile d'argan,FOL3167
Folie_FR,Evoluderm,,Nahima L.,26/09/2018,3, Pareil que pour le gommage malheureusement à peine appliqué la peau brûle. Il nettoie bien certe mais avoir la peau toute rouge après bof bof,Masque visage à l'huile d'argan,FOL3167
Folie_FR,Evoluderm,,Véronique M.,26/09/2018,5, Très bien,Masque visage à l'huile d'argan,FOL3167
Folie_FR,Evoluderm,,Favienne R.,23/09/2018,5, bien,Masque visage à l'huile d'argan,FOL3167
Folie_FR,Evoluderm,,Naima H.,25/08/2018,4," je l'ai essayé et j'ai trouvé ma peau plus douce, ayant une tendance peau sèche c'est parfait.",Masque visage à l'huile d'argan,FOL3167
Folie_FR,Evoluderm,,"Franck "".",19/09/2017,5," ""Masque bien hydratant, au top.""",Masque visage à l'huile d'argan,FOL3167
Folie_FR,Evoluderm,,Fabienne S.,25/03/2017,5," ""facile à l' utilisé""",Masque visage à l'huile d'argan,FOL3167
Folie_FR,Evoluderm,,Evelyne L.,10/3/2017,5," ""PRODUIT TRES AGREABLE QUI LAISSE LA PEAU HYPER NETTE""",Masque visage à l'huile d'argan,FOL3167
Folie_FR,Evoluderm,,JOCELYNE G.,15/01/2017,4," ""Réconforte bien la peau""",Masque visage à l'huile d'argan,FOL3167
Folie_FR,Evoluderm,,Nathalie M.,20/11/2016,5," ""Je recommande a toute cette gamme evoluderm, très efficace associe au gommage c'est parfait!""",Masque visage à l'huile d'argan,FOL3167
Folie_FR,Evoluderm,,"Carole "".",6/11/2016,5," ""J AIME BCP CETTE MARQUE""",Masque visage à l'huile d'argan,FOL3167
Folie_FR,Evoluderm,,Marion C.,4/10/2016,5," ""rien à redire""",Masque visage à l'huile d'argan,FOL3167
Folie_FR,Evoluderm,,Roselyne F.,26/06/2016,5," ""laisse une peau tres douce ! satisfaite de mon achat""",Masque visage à l'huile d'argan,FOL3167
Folie_FR,Evoluderm,,Myriam D.,2/4/2016,5," ""bon produit""",Masque visage à l'huile d'argan,FOL3167
Folie_FR,Evoluderm,,Bénédicte P.,19/12/2015,5," ""très efficace""",Masque visage à l'huile d'argan,FOL3167
Folie_FR,Evoluderm,,JOCELYNE G.,19/12/2015,3, Moyen,Masque visage à l'huile d'argan,FOL3167
Folie_FR,Evoluderm,,Lola G.,16/12/2014,4," ""Très bon masque""",Masque visage à l'huile d'argan,FOL3167
Folie_FR,Evoluderm,,Nahima L.,26/09/2018,3, J’Ai choisis ce gommage comme il est à l´huile d’argan Mais dommage qu’à peine appliqué sur le visage sa brûle,Gommage visage à l'huile d'argan,FOL3168
